ID,Label,NodeType
1,cricketcomau,1
2,1504569056690647046,4
3,imraina,3
4,1504569356247834635,4
5,1504597929021308930,4
6,1504552095931932679,4
7,1504554500236922881,4
8,1504555705990275077,4
9,nissoana_iqbal,3
10,whellumanthony,3
11,1504594987580805128,4
12,1504595644887015427,4
13,mof_mass,1
14,captainmat5,1
15,dhoni,2
16,perko78,1
17,ibrahim02114,1
18,abhira_tanya,1
19,1504562180649205762,4
20,1504574066480467968,4
21,anshu34503604,3
22,klrahul,2
23,tomboyanarchy_,1
24,balkadi,1
25,wivseng,2
26,imhp33,3
27,1504555595919237134,4
28,1504602617988759561,4
29,jofraarcher,1
30,1504574074995019780,4
31,nqatpod,1
32,imrizwanpak,3
33,1504562409830170647,4
34,1504574713015812103,4
35,1504593958680342534,4
36,thebarmyarmy,1
37,mof_mass,3
38,captainmat5,3
39,lucknowipl,1
40,abhira_tanya,3
41,ibrahim02114,3
42,cskfansofficial,1
43,imrankhanpti,1
44,cricket,2
45,balkadi,3
46,newstalkzbsport,1
47,1504574637560279048,4
48,panodds,1
49,hcflatfangurll,3
50,jofraarcher,3
51,brahmanabhishe7,3
52,its__lew,1
53,1504560974623346691,4
54,1504557877599604736,4
55,ipl,1
56,1504553329040375811,4
57,1504570393587118081,4
58,1504597476317155329,4
59,imvkohli,1
60,nqatpod,3
61,chinapumpwxc,3
62,mani007usman,3
63,mit_csail,3
64,khannashaile,3
65,dhadwalparanjay,1
66,thebarmyarmy,3
67,kim__era2,1
68,lucknowipl,3
69,1504585640809218049,4
70,cskfansofficial,3
71,1504602305299197958,4
72,imrankhanpti,3
73,timesofindia,2
74,ani,3
75,1504606037508300801,4
76,newstalkzbsport,3
77,msdhoni,2
78,mr_kaka0,1
79,_cricingif,1
80,panodds,3
81,its__lew,3
82,1504561455299018758,4
83,1504576784825610255,4
84,ipl,3
85,cricket_badger,1
86,1504591861515649054,4
87,1504566613726617609,4
88,1504586100442120194,4
89,cricroyale,1
90,1504558791068721158,4
91,1504557010037063694,4
92,kohli,2
93,walia6vidhi,1
94,sachin,2
95,1504585903989305352,4
96,dhadwalparanjay,3
97,1504560612080246793,4
98,kim__era2,3
99,1504551825176940544,4
100,carlsbadrealtor,2
101,1504567695475240976,4
